Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.142484,0.104200,,,
2,0.138100,0.104200,,,
3,0.134446,0.103600,,,
4,0.131326,0.103600,,,
5,0.128577,0.103400,,,
6,0.126098,0.102000,,,
7,0.123826,0.098400,,,
8,0.121722,0.096600,,,
9,0.119760,0.094400,,,
10,0.117921,0.095400,,,
11,0.116191,0.095600,,,
12,0.114569,0.094800,,,
13,0.113048,0.098400,,,
14,0.111625,0.096600,,,
15,0.110289,0.099400,,,
16,0.109038,0.100600,,,
17,0.107864,0.102400,,,
18,0.106762,0.102600,,,
19,0.105725,0.101800,,,
20,0.104749,0.101800,,,
21,0.103830,0.103400,,,
22,0.102965,0.104400,,,
23,0.102150,0.104200,,,
24,0.101382,0.104600,,,
25,0.100657,0.105000,,,
26,0.099974,0.105200,,,
27,0.099329,0.105600,,,
28,0.098717,0.106000,,,
29,0.098138,0.106600,,,
30,0.097588,0.107200,,,
31,0.097067,0.108000,,,
32,0.096572,0.108200,,,
33,0.096100,0.109600,,,
34,0.095652,0.110400,,,
35,0.095224,0.111400,,,
36,0.094815,0.112000,,,
37,0.094425,0.113400,,,
38,0.094052,0.114800,,,
39,0.093696,0.115800,,,
40,0.093355,0.116600,,,
41,0.093029,0.118600,,,
42,0.092716,0.119800,,,
43,0.092416,0.120400,,,
44,0.092129,0.121600,,,
45,0.091853,0.124000,,,
46,0.091589,0.126200,,,
47,0.091335,0.127800,,,
48,0.091091,0.129800,,,
49,0.090856,0.132000,,,
50,0.090630,0.134400,,,
51,0.090412,0.137200,,,
52,0.090202,0.141400,,,
53,0.090000,0.145600,,,
54,0.089804,0.151200,,,
55,0.089616,0.157600,,,
56,0.089435,0.164600,,,
57,0.089260,0.172800,,,
58,0.089090,0.179400,,,
59,0.088927,0.186200,,,
60,0.088769,0.191000,,,
61,0.088616,0.197200,,,
62,0.088468,0.203600,,,
63,0.088324,0.211800,,,
64,0.088185,0.217800,,,
65,0.088049,0.221800,,,
66,0.087918,0.225800,,,
67,0.087791,0.229400,,,
68,0.087667,0.236000,,,
69,0.087546,0.241200,,,
70,0.087429,0.243800,,,
71,0.087315,0.246000,,,
72,0.087204,0.250400,,,
73,0.087095,0.254200,,,
74,0.086990,0.257600,,,
75,0.086887,0.260800,,,
76,0.086786,0.264200,,,
77,0.086687,0.268800,,,
78,0.086591,0.270400,,,
79,0.086497,0.273000,,,
80,0.086405,0.277200,,,
81,0.086314,0.279600,,,
82,0.086226,0.281200,,,
83,0.086140,0.284200,,,
84,0.086055,0.287800,,,
85,0.085971,0.289200,,,
86,0.085889,0.292400,,,
87,0.085809,0.291000,,,
88,0.085729,0.294400,,,
89,0.085652,0.296600,,,
90,0.085575,0.299000,,,
91,0.085499,0.300400,,,
92,0.085425,0.301800,,,
93,0.085351,0.302800,,,
94,0.085279,0.302200,,,
95,0.085207,0.302800,,,
96,0.085137,0.305000,,,
97,0.085067,0.306000,,,
98,0.084998,0.307800,,,
99,0.084930,0.309200,,,
100,0.084863,0.311000,,,
101,0.084797,0.310600,,,
102,0.084731,0.311600,,,
103,0.084666,0.312000,,,
104,0.084601,0.312600,,,
105,0.084538,0.313600,,,
106,0.084474,0.314600,,,
107,0.084411,0.315800,,,
108,0.084349,0.316800,,,
109,0.084288,0.318200,,,
110,0.084227,0.319600,,,
111,0.084166,0.321200,,,
112,0.084106,0.321600,,,
113,0.084046,0.323600,,,
114,0.083987,0.324000,,,
115,0.083928,0.324400,,,
116,0.083870,0.325800,,,
117,0.083811,0.326800,,,
118,0.083753,0.329600,,,
119,0.083695,0.331400,,,
120,0.083638,0.332400,,,
121,0.083581,0.333600,,,
122,0.083524,0.334600,,,
123,0.083468,0.335400,,,
124,0.083412,0.336200,,,
125,0.083356,0.336200,,,
126,0.083301,0.337200,,,
127,0.083246,0.339600,,,
128,0.083191,0.339800,,,
129,0.083137,0.340600,,,
130,0.083083,0.341200,,,
131,0.083029,0.340400,,,
132,0.082976,0.340600,,,
133,0.082923,0.341600,,,
134,0.082870,0.341600,,,
135,0.082818,0.342600,,,
136,0.082765,0.344000,,,
137,0.082714,0.345400,,,
138,0.082662,0.346000,,,
139,0.082611,0.347600,,,
140,0.082559,0.348000,,,
141,0.082508,0.348600,,,
142,0.082457,0.348600,,,
143,0.082407,0.351000,,,
144,0.082357,0.350400,,,
145,0.082307,0.351400,,,
146,0.082257,0.352200,,,
147,0.082207,0.353800,,,
148,0.082158,0.355200,,,
149,0.082109,0.356000,,,
150,0.082060,0.356600,,,
151,0.082012,0.357800,,,
152,0.081963,0.360000,,,
153,0.081915,0.361800,,,
154,0.081867,0.362600,,,
155,0.081819,0.363000,,,
156,0.081772,0.363600,,,
157,0.081724,0.364800,,,
158,0.081677,0.366000,,,
159,0.081630,0.367000,,,
160,0.081583,0.367800,,,
161,0.081536,0.368800,,,
162,0.081489,0.370400,,,
163,0.081442,0.372000,,,
164,0.081396,0.373400,,,
165,0.081350,0.374000,,,
166,0.081304,0.375400,,,
167,0.081258,0.376200,,,
168,0.081213,0.376800,,,
169,0.081167,0.378000,,,
170,0.081122,0.378800,,,
171,0.081076,0.379800,,,
172,0.081031,0.380400,,,
173,0.080986,0.382400,,,
174,0.080941,0.383400,,,
175,0.080896,0.385000,,,
176,0.080851,0.386200,,,
177,0.080807,0.387000,,,
178,0.080762,0.387600,,,
179,0.080718,0.388200,,,
180,0.080673,0.390000,,,
181,0.080629,0.390400,,,
182,0.080585,0.391600,,,
183,0.080541,0.392200,,,
184,0.080497,0.393200,,,
185,0.080454,0.394000,,,
186,0.080410,0.394800,,,
187,0.080367,0.395200,,,
188,0.080324,0.395400,,,
189,0.080281,0.396600,,,
190,0.080238,0.398400,,,
191,0.080195,0.400000,,,
192,0.080152,0.400600,,,
193,0.080109,0.400800,,,
194,0.080066,0.401600,,,
195,0.080024,0.402600,,,
196,0.079981,0.403200,,,
197,0.079939,0.405200,,,
198,0.079897,0.406200,,,
199,0.079855,0.407000,,,
200,0.079813,0.408000,,,
201,0.079771,0.409200,,,
202,0.079729,0.411400,,,
203,0.079687,0.412600,,,
204,0.079645,0.413200,,,
205,0.079604,0.414000,,,
206,0.079562,0.415200,,,
207,0.079521,0.416600,,,
208,0.079480,0.417800,,,
209,0.079439,0.418600,,,
210,0.079397,0.419400,,,
211,0.079356,0.419600,,,
212,0.079315,0.420800,,,
213,0.079275,0.422000,,,
214,0.079234,0.422600,,,
215,0.079193,0.423800,,,
216,0.079152,0.424800,,,
217,0.079112,0.426000,,,
218,0.079071,0.427800,,,
219,0.079030,0.428800,,,
220,0.078990,0.430800,,,
221,0.078950,0.432400,,,
222,0.078909,0.433800,,,
223,0.078869,0.435800,,,
224,0.078829,0.436800,,,
225,0.078789,0.437800,,,
226,0.078749,0.439200,,,
227,0.078709,0.439800,,,
228,0.078670,0.440600,,,
229,0.078630,0.441400,,,
230,0.078590,0.443200,,,
231,0.078551,0.443800,,,
232,0.078511,0.445200,,,
233,0.078472,0.446200,,,
234,0.078432,0.447600,,,
235,0.078393,0.448200,,,
236,0.078354,0.449400,,,
237,0.078315,0.449800,,,
238,0.078276,0.451000,,,
239,0.078236,0.452000,,,
240,0.078198,0.452800,,,
241,0.078159,0.453200,,,
242,0.078120,0.453400,,,
243,0.078081,0.455000,,,
244,0.078043,0.455400,,,
245,0.078004,0.456600,,,
246,0.077965,0.457000,,,
247,0.077927,0.457800,,,
248,0.077888,0.458400,,,
249,0.077850,0.459000,,,
250,0.077812,0.459800,,,
251,0.077774,0.461400,,,
252,0.077736,0.461800,,,
253,0.077697,0.463000,,,
254,0.077659,0.464200,,,
255,0.077622,0.464800,,,
256,0.077584,0.466400,,,
257,0.077546,0.467800,,,
258,0.077508,0.469200,,,
259,0.077471,0.470400,,,
260,0.077433,0.470800,,,
261,0.077396,0.471400,,,
262,0.077358,0.472600,,,
263,0.077321,0.474000,,,
264,0.077283,0.474600,,,
265,0.077246,0.475400,,,
266,0.077209,0.476000,,,
267,0.077172,0.477000,,,
268,0.077135,0.478200,,,
269,0.077098,0.478600,,,
270,0.077061,0.479800,,,
271,0.077024,0.480600,,,
272,0.076988,0.481000,,,
273,0.076951,0.481400,,,
274,0.076914,0.481600,,,
275,0.076878,0.481600,,,
276,0.076841,0.482600,,,
277,0.076805,0.483800,,,
278,0.076769,0.484600,,,
279,0.076732,0.485200,,,
280,0.076696,0.486200,,,
281,0.076660,0.486400,,,
282,0.076623,0.487200,,,
283,0.076587,0.488400,,,
284,0.076551,0.489400,,,
285,0.076515,0.490400,,,
286,0.076479,0.491400,,,
287,0.076443,0.491600,,,
288,0.076407,0.492000,,,
289,0.076371,0.492800,,,
290,0.076335,0.493800,,,
291,0.076299,0.494000,,,
292,0.076263,0.494800,,,
293,0.076227,0.495800,,,
294,0.076192,0.497400,,,
295,0.076156,0.497800,,,
296,0.076120,0.498600,,,
297,0.076084,0.499400,,,
298,0.076048,0.500400,,,
299,0.076013,0.500200,,,
300,0.075977,0.500800,,,
301,0.075941,0.502000,,,
302,0.075906,0.503600,,,
303,0.075870,0.503800,,,
304,0.075835,0.504400,,,
305,0.075799,0.504800,,,
306,0.075764,0.505400,,,
307,0.075728,0.506000,,,
308,0.075693,0.506000,,,
309,0.075658,0.506400,,,
310,0.075623,0.507400,,,
311,0.075587,0.508200,,,
312,0.075552,0.508600,,,
313,0.075517,0.509200,,,
314,0.075482,0.509600,,,
315,0.075446,0.510000,,,
316,0.075411,0.510200,,,
317,0.075376,0.510600,,,
318,0.075341,0.511800,,,
319,0.075306,0.512800,,,
320,0.075271,0.513800,,,
321,0.075236,0.514400,,,
322,0.075201,0.514600,,,
323,0.075166,0.515400,,,
324,0.075131,0.515400,,,
325,0.075096,0.516000,,,
326,0.075061,0.516800,,,
327,0.075026,0.516800,,,
328,0.074992,0.517800,,,
329,0.074957,0.518800,,,
330,0.074922,0.519200,,,
331,0.074888,0.518400,,,
332,0.074853,0.519000,,,
333,0.074819,0.519600,,,
334,0.074784,0.520600,,,
335,0.074750,0.521200,,,
336,0.074715,0.521600,,,
337,0.074681,0.522200,,,
338,0.074646,0.522400,,,
339,0.074612,0.522800,,,
340,0.074578,0.522800,,,
341,0.074544,0.522800,,,
342,0.074509,0.523400,,,
343,0.074475,0.523800,,,
344,0.074441,0.524000,,,
345,0.074407,0.525400,,,
346,0.074373,0.525600,,,
347,0.074339,0.527200,,,
348,0.074305,0.527800,,,
349,0.074271,0.528800,,,
350,0.074237,0.529400,,,
351,0.074203,0.529400,,,
352,0.074169,0.530000,,,
353,0.074135,0.530400,,,
354,0.074101,0.531200,,,
355,0.074067,0.532400,,,
356,0.074033,0.533000,,,
357,0.073999,0.533600,,,
358,0.073966,0.533800,,,
359,0.073932,0.533800,,,
360,0.073898,0.534200,,,
361,0.073864,0.534800,,,
362,0.073830,0.535200,,,
363,0.073797,0.535800,,,
364,0.073763,0.536200,,,
365,0.073729,0.536600,,,
366,0.073696,0.537200,,,
367,0.073662,0.536800,,,
368,0.073628,0.537400,,,
369,0.073595,0.537600,,,
370,0.073561,0.537600,,,
371,0.073528,0.537600,,,
372,0.073494,0.537600,,,
373,0.073461,0.537800,,,
374,0.073428,0.539000,,,
375,0.073394,0.540000,,,
376,0.073361,0.540400,,,
377,0.073328,0.541400,,,
378,0.073294,0.542400,,,
379,0.073261,0.543400,,,
380,0.073228,0.543200,,,
381,0.073195,0.543800,,,
382,0.073161,0.544600,,,
383,0.073128,0.544800,,,
384,0.073095,0.545000,,,
385,0.073062,0.545600,,,
386,0.073028,0.545600,,,
387,0.072995,0.546200,,,
388,0.072962,0.546000,,,
389,0.072929,0.546200,,,
390,0.072896,0.546200,,,
391,0.072863,0.546800,,,
392,0.072830,0.547600,,,
393,0.072797,0.548000,,,
394,0.072764,0.548800,,,
395,0.072731,0.550000,,,
396,0.072698,0.550800,,,
397,0.072665,0.551000,,,
398,0.072632,0.551200,,,
399,0.072599,0.551000,,,
400,0.072566,0.551600,,,
401,0.072533,0.552800,,,
402,0.072500,0.553000,,,
403,0.072467,0.553800,,,
404,0.072435,0.554200,,,
405,0.072402,0.554600,,,
406,0.072369,0.555200,,,
407,0.072336,0.555200,,,
408,0.072304,0.556000,,,
409,0.072271,0.556400,,,
410,0.072238,0.556200,,,
411,0.072206,0.556200,,,
412,0.072173,0.556600,,,
413,0.072140,0.557200,,,
414,0.072108,0.557600,,,
415,0.072075,0.558000,,,
416,0.072042,0.559000,,,
417,0.072010,0.559600,,,
418,0.071977,0.559600,,,
419,0.071944,0.559800,,,
420,0.071912,0.560200,,,
421,0.071879,0.560800,,,
422,0.071846,0.560800,,,
423,0.071814,0.560400,,,
424,0.071781,0.560600,,,
425,0.071748,0.561000,,,
426,0.071716,0.562200,,,
427,0.071683,0.562200,,,
428,0.071651,0.562600,,,
429,0.071618,0.563200,,,
430,0.071585,0.563200,,,
431,0.071553,0.563200,,,
432,0.071520,0.563400,,,
433,0.071488,0.564000,,,
434,0.071455,0.563600,,,
435,0.071423,0.564600,,,
436,0.071390,0.564800,,,
437,0.071358,0.565600,,,
438,0.071325,0.565800,,,
439,0.071293,0.566800,,,
440,0.071260,0.567200,,,
441,0.071228,0.567400,,,
442,0.071196,0.567600,,,
443,0.071163,0.567400,,,
444,0.071131,0.568200,,,
445,0.071099,0.568400,,,
446,0.071066,0.569200,,,
447,0.071034,0.570000,,,
448,0.071002,0.570600,,,
449,0.070969,0.571200,,,
450,0.070937,0.571200,,,
451,0.070905,0.571200,,,
452,0.070873,0.571400,,,
453,0.070841,0.571400,,,
454,0.070809,0.571800,,,
455,0.070777,0.572200,,,
456,0.070745,0.572200,,,
457,0.070713,0.572600,,,
458,0.070681,0.573200,,,
459,0.070648,0.573200,,,
460,0.070616,0.573800,,,
461,0.070584,0.574600,,,
462,0.070552,0.575000,,,
463,0.070521,0.575800,,,
464,0.070489,0.575800,,,
465,0.070457,0.577000,,,
466,0.070425,0.577400,,,
467,0.070393,0.577800,,,
468,0.070361,0.578400,,,
469,0.070329,0.578600,,,
470,0.070298,0.578800,,,
471,0.070266,0.578800,,,
472,0.070234,0.579800,,,
473,0.070202,0.580400,,,
474,0.070170,0.580400,,,
475,0.070139,0.581000,,,
476,0.070107,0.581200,,,
477,0.070075,0.581400,,,
478,0.070044,0.581200,,,
479,0.070012,0.581600,,,
480,0.069980,0.581800,,,
481,0.069949,0.581600,,,
482,0.069917,0.581800,,,
483,0.069885,0.582000,,,
484,0.069854,0.582200,,,
485,0.069822,0.582800,,,
486,0.069790,0.583000,,,
487,0.069759,0.583400,,,
488,0.069727,0.584000,,,
489,0.069696,0.584800,,,
490,0.069665,0.585400,,,
491,0.069633,0.585600,,,
492,0.069602,0.586400,,,
493,0.069570,0.586800,,,
494,0.069539,0.586800,,,
495,0.069508,0.587000,,,
496,0.069476,0.587200,,,
497,0.069445,0.588000,,,
498,0.069413,0.588600,,,
499,0.069382,0.589800,,,
500,0.069351,0.590000,,,
501,0.069319,0.590400,,,
502,0.069288,0.591000,,,
503,0.069257,0.591800,,,
504,0.069225,0.592800,,,
505,0.069194,0.593600,,,
506,0.069162,0.594000,,,
507,0.069131,0.594000,,,
508,0.069099,0.594400,,,
509,0.069068,0.594400,,,
510,0.069037,0.594800,,,
511,0.069006,0.595000,,,
512,0.068974,0.595800,,,
513,0.068943,0.596600,,,
514,0.068912,0.597000,,,
515,0.068881,0.597200,,,
516,0.068850,0.597600,,,
517,0.068819,0.597600,,,
518,0.068788,0.598200,,,
519,0.068757,0.599000,,,
520,0.068726,0.599600,,,
521,0.068695,0.599600,,,
522,0.068664,0.600200,,,
523,0.068633,0.600600,,,
524,0.068602,0.600400,,,
525,0.068571,0.601000,,,
526,0.068540,0.601400,,,
527,0.068509,0.601600,,,
528,0.068478,0.601600,,,
529,0.068448,0.601800,,,
530,0.068417,0.601800,,,
531,0.068386,0.602800,,,
532,0.068355,0.603000,,,
533,0.068325,0.603800,,,
534,0.068294,0.604400,,,
535,0.068264,0.604400,,,
536,0.068233,0.604600,,,
537,0.068202,0.605600,,,
538,0.068172,0.606600,,,
539,0.068141,0.607200,,,
540,0.068111,0.607400,,,
541,0.068081,0.607800,,,
542,0.068050,0.608600,,,
543,0.068020,0.608800,,,
544,0.067990,0.608600,,,
545,0.067960,0.609200,,,
546,0.067929,0.609800,,,
547,0.067899,0.610400,,,
548,0.067869,0.610600,,,
549,0.067839,0.610600,,,
550,0.067809,0.611400,,,
551,0.067779,0.612200,,,
552,0.067749,0.612200,,,
553,0.067719,0.612800,,,
554,0.067689,0.613200,,,
555,0.067659,0.613600,,,
556,0.067629,0.613600,,,
557,0.067599,0.613400,,,
558,0.067569,0.614400,,,
