Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.108969,0.104200,,,
2,0.108403,0.104400,,,
3,0.107854,0.105800,,,
4,0.107320,0.105800,,,
5,0.106800,0.106600,,,
6,0.106295,0.107400,,,
7,0.105803,0.108600,,,
8,0.105325,0.108800,,,
9,0.104859,0.109000,,,
10,0.104405,0.110400,,,
11,0.103963,0.110600,,,
12,0.103533,0.112200,,,
13,0.103114,0.113600,,,
14,0.102705,0.114200,,,
15,0.102307,0.115000,,,
16,0.101918,0.116400,,,
17,0.101540,0.117000,,,
18,0.101171,0.117600,,,
19,0.100812,0.118400,,,
20,0.100461,0.118200,,,
21,0.100119,0.118600,,,
22,0.099785,0.119800,,,
23,0.099460,0.120800,,,
24,0.099142,0.121200,,,
25,0.098832,0.123200,,,
26,0.098529,0.124000,,,
27,0.098235,0.124400,,,
28,0.097947,0.125600,,,
29,0.097667,0.126400,,,
30,0.097393,0.127600,,,
31,0.097126,0.131200,,,
32,0.096866,0.132000,,,
33,0.096612,0.134200,,,
34,0.096364,0.135800,,,
35,0.096122,0.137600,,,
36,0.095886,0.139400,,,
37,0.095656,0.144000,,,
38,0.095431,0.145600,,,
39,0.095212,0.148600,,,
40,0.094998,0.152200,,,
41,0.094789,0.154600,,,
42,0.094585,0.155800,,,
43,0.094386,0.157800,,,
44,0.094192,0.160600,,,
45,0.094002,0.162200,,,
46,0.093816,0.164200,,,
47,0.093634,0.166800,,,
48,0.093457,0.169600,,,
49,0.093285,0.172400,,,
50,0.093116,0.174200,,,
51,0.092951,0.177400,,,
52,0.092790,0.179000,,,
53,0.092633,0.179600,,,
54,0.092480,0.181800,,,
55,0.092330,0.184200,,,
56,0.092183,0.186200,,,
57,0.092040,0.188400,,,
58,0.091900,0.191400,,,
59,0.091764,0.193600,,,
60,0.091630,0.195800,,,
61,0.091500,0.198000,,,
62,0.091372,0.199600,,,
63,0.091248,0.200000,,,
64,0.091126,0.201200,,,
65,0.091007,0.203400,,,
66,0.090891,0.205200,,,
67,0.090777,0.206600,,,
68,0.090666,0.208400,,,
69,0.090558,0.210400,,,
70,0.090452,0.213400,,,
71,0.090348,0.215600,,,
72,0.090247,0.216400,,,
73,0.090147,0.218400,,,
74,0.090050,0.220000,,,
75,0.089956,0.221200,,,
76,0.089863,0.221800,,,
77,0.089772,0.223800,,,
78,0.089683,0.225000,,,
79,0.089596,0.226000,,,
80,0.089511,0.226800,,,
81,0.089427,0.229000,,,
82,0.089345,0.229200,,,
83,0.089265,0.230000,,,
84,0.089187,0.232000,,,
85,0.089110,0.233200,,,
86,0.089034,0.235400,,,
87,0.088960,0.237000,,,
88,0.088888,0.238200,,,
89,0.088816,0.240000,,,
90,0.088747,0.241000,,,
91,0.088678,0.243800,,,
92,0.088611,0.244000,,,
93,0.088545,0.245600,,,
94,0.088480,0.246800,,,
95,0.088416,0.247400,,,
96,0.088354,0.248800,,,
97,0.088292,0.251400,,,
98,0.088232,0.251800,,,
99,0.088172,0.252200,,,
100,0.088114,0.253600,,,
101,0.088056,0.254400,,,
102,0.088000,0.255800,,,
103,0.087944,0.256800,,,
104,0.087889,0.258600,,,
105,0.087835,0.259600,,,
106,0.087782,0.260600,,,
107,0.087730,0.260800,,,
108,0.087679,0.262000,,,
109,0.087628,0.263600,,,
110,0.087578,0.265800,,,
111,0.087529,0.266400,,,
112,0.087481,0.267000,,,
113,0.087433,0.268400,,,
114,0.087386,0.269000,,,
115,0.087340,0.269200,,,
116,0.087294,0.270600,,,
117,0.087249,0.272200,,,
118,0.087204,0.273200,,,
119,0.087160,0.273800,,,
120,0.087117,0.274200,,,
121,0.087074,0.275400,,,
122,0.087031,0.277200,,,
123,0.086989,0.278600,,,
124,0.086948,0.279200,,,
125,0.086906,0.279400,,,
126,0.086866,0.280400,,,
127,0.086826,0.281200,,,
128,0.086786,0.282000,,,
129,0.086746,0.283600,,,
130,0.086707,0.285200,,,
131,0.086669,0.286400,,,
132,0.086630,0.287400,,,
133,0.086593,0.288200,,,
134,0.086555,0.289400,,,
135,0.086518,0.290400,,,
136,0.086481,0.291800,,,
137,0.086444,0.293200,,,
138,0.086408,0.293400,,,
139,0.086372,0.295000,,,
140,0.086336,0.296800,,,
141,0.086301,0.298400,,,
142,0.086266,0.299400,,,
143,0.086231,0.301400,,,
144,0.086197,0.303400,,,
145,0.086162,0.304600,,,
146,0.086128,0.305200,,,
147,0.086094,0.306200,,,
148,0.086061,0.307400,,,
149,0.086027,0.310400,,,
150,0.085994,0.311600,,,
151,0.085961,0.313400,,,
152,0.085928,0.315800,,,
153,0.085895,0.317200,,,
154,0.085863,0.318200,,,
155,0.085830,0.319800,,,
156,0.085798,0.321600,,,
157,0.085766,0.323200,,,
158,0.085734,0.325200,,,
159,0.085702,0.327400,,,
160,0.085671,0.329200,,,
161,0.085639,0.330800,,,
162,0.085608,0.333200,,,
163,0.085577,0.335200,,,
164,0.085546,0.337400,,,
165,0.085515,0.338200,,,
166,0.085484,0.340000,,,
167,0.085454,0.342200,,,
168,0.085423,0.344000,,,
169,0.085393,0.346000,,,
170,0.085362,0.348200,,,
171,0.085332,0.349000,,,
172,0.085302,0.351200,,,
173,0.085272,0.353000,,,
174,0.085242,0.355800,,,
175,0.085212,0.358000,,,
176,0.085182,0.358000,,,
177,0.085153,0.359800,,,
178,0.085123,0.362200,,,
179,0.085093,0.363200,,,
180,0.085063,0.364600,,,
181,0.085034,0.367800,,,
182,0.085004,0.369400,,,
183,0.084975,0.371600,,,
184,0.084945,0.371800,,,
185,0.084916,0.372400,,,
186,0.084886,0.373400,,,
187,0.084857,0.375000,,,
188,0.084828,0.376800,,,
189,0.084799,0.378400,,,
190,0.084769,0.379800,,,
191,0.084740,0.381800,,,
192,0.084711,0.382400,,,
193,0.084681,0.384600,,,
194,0.084652,0.386800,,,
195,0.084623,0.386800,,,
196,0.084593,0.386200,,,
197,0.084564,0.388200,,,
198,0.084535,0.389800,,,
199,0.084506,0.391000,,,
200,0.084477,0.392200,,,
201,0.084447,0.395400,,,
202,0.084418,0.396800,,,
203,0.084389,0.398000,,,
204,0.084359,0.400000,,,
205,0.084330,0.401600,,,
206,0.084300,0.403000,,,
207,0.084271,0.403600,,,
208,0.084241,0.405400,,,
209,0.084211,0.407600,,,
210,0.084182,0.409600,,,
211,0.084153,0.411000,,,
212,0.084123,0.412800,,,
213,0.084094,0.415000,,,
214,0.084064,0.416200,,,
215,0.084035,0.418400,,,
216,0.084005,0.420400,,,
217,0.083976,0.421200,,,
218,0.083947,0.423000,,,
219,0.083917,0.423200,,,
220,0.083888,0.423800,,,
221,0.083858,0.425800,,,
222,0.083829,0.426800,,,
223,0.083799,0.427200,,,
224,0.083770,0.427600,,,
225,0.083740,0.429600,,,
226,0.083711,0.430000,,,
227,0.083681,0.431600,,,
228,0.083652,0.432600,,,
229,0.083622,0.433400,,,
230,0.083593,0.434800,,,
231,0.083563,0.435800,,,
232,0.083534,0.436600,,,
233,0.083504,0.437400,,,
234,0.083475,0.438200,,,
235,0.083445,0.439800,,,
236,0.083416,0.440000,,,
237,0.083386,0.439800,,,
238,0.083357,0.441000,,,
239,0.083327,0.441800,,,
240,0.083297,0.443000,,,
241,0.083268,0.444200,,,
242,0.083238,0.445600,,,
243,0.083208,0.446600,,,
244,0.083178,0.447600,,,
245,0.083149,0.449000,,,
246,0.083119,0.450000,,,
247,0.083089,0.450800,,,
248,0.083060,0.451200,,,
249,0.083030,0.451400,,,
250,0.083000,0.452200,,,
251,0.082970,0.452800,,,
252,0.082940,0.453200,,,
253,0.082910,0.453200,,,
254,0.082880,0.455000,,,
255,0.082850,0.455400,,,
256,0.082820,0.456600,,,
257,0.082790,0.456800,,,
258,0.082760,0.457600,,,
259,0.082729,0.458200,,,
260,0.082699,0.459200,,,
261,0.082668,0.459000,,,
262,0.082638,0.460200,,,
263,0.082607,0.460400,,,
264,0.082577,0.460400,,,
265,0.082546,0.461000,,,
266,0.082516,0.461200,,,
267,0.082485,0.462000,,,
268,0.082455,0.462800,,,
269,0.082424,0.464600,,,
270,0.082393,0.465000,,,
271,0.082362,0.465800,,,
272,0.082332,0.467000,,,
273,0.082301,0.467800,,,
274,0.082270,0.467600,,,
275,0.082240,0.467600,,,
276,0.082209,0.468400,,,
277,0.082178,0.469000,,,
278,0.082147,0.470000,,,
279,0.082117,0.470800,,,
280,0.082086,0.471000,,,
281,0.082055,0.471200,,,
282,0.082024,0.472000,,,
283,0.081993,0.472400,,,
284,0.081962,0.472600,,,
285,0.081931,0.473000,,,
286,0.081900,0.473000,,,
287,0.081870,0.474000,,,
288,0.081839,0.474400,,,
289,0.081808,0.473800,,,
290,0.081777,0.474400,,,
291,0.081746,0.475200,,,
292,0.081715,0.476000,,,
293,0.081684,0.477200,,,
294,0.081653,0.476800,,,
295,0.081622,0.477200,,,
296,0.081591,0.477800,,,
297,0.081560,0.478000,,,
298,0.081529,0.479400,,,
299,0.081498,0.479600,,,
300,0.081467,0.480600,,,
301,0.081436,0.481000,,,
302,0.081406,0.482400,,,
303,0.081375,0.482600,,,
304,0.081344,0.482800,,,
305,0.081313,0.483800,,,
306,0.081283,0.484400,,,
307,0.081252,0.484400,,,
308,0.081221,0.484800,,,
309,0.081190,0.485200,,,
310,0.081159,0.486600,,,
311,0.081129,0.488000,,,
312,0.081098,0.488600,,,
313,0.081067,0.489600,,,
314,0.081036,0.490200,,,
315,0.081005,0.490400,,,
316,0.080974,0.491200,,,
317,0.080943,0.492000,,,
318,0.080912,0.492400,,,
319,0.080881,0.492400,,,
320,0.080850,0.492800,,,
321,0.080819,0.494000,,,
322,0.080788,0.494200,,,
323,0.080757,0.495600,,,
324,0.080726,0.496000,,,
325,0.080695,0.496800,,,
326,0.080664,0.498000,,,
327,0.080633,0.498200,,,
