Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.142484,0.104200,,,
2,0.139694,0.104200,,,
3,0.137202,0.104200,,,
4,0.134962,0.103800,,,
5,0.132934,0.103600,,,
6,0.131071,0.103600,,,
7,0.129341,0.103400,,,
8,0.127720,0.102800,,,
9,0.126194,0.102000,,,
10,0.124748,0.100800,,,
11,0.123370,0.098000,,,
12,0.122056,0.096000,,,
13,0.120799,0.096600,,,
14,0.119593,0.094600,,,
15,0.118433,0.095400,,,
16,0.117318,0.096000,,,
17,0.116248,0.096800,,,
18,0.115220,0.096200,,,
19,0.114233,0.094800,,,
20,0.113287,0.098400,,,
21,0.112379,0.098800,,,
22,0.111506,0.098000,,,
23,0.110668,0.099800,,,
24,0.109863,0.100000,,,
25,0.109091,0.101400,,,
26,0.108348,0.103400,,,
27,0.107634,0.103000,,,
28,0.106948,0.103000,,,
29,0.106287,0.103400,,,
30,0.105651,0.102200,,,
31,0.105038,0.102600,,,
32,0.104448,0.102200,,,
33,0.103880,0.103600,,,
34,0.103333,0.104400,,,
35,0.102806,0.105000,,,
36,0.102298,0.104600,,,
37,0.101809,0.104400,,,
38,0.101336,0.104600,,,
39,0.100882,0.105000,,,
40,0.100443,0.104800,,,
41,0.100020,0.105200,,,
42,0.099612,0.105200,,,
43,0.099217,0.105600,,,
44,0.098835,0.106000,,,
45,0.098466,0.106400,,,
46,0.098109,0.107000,,,
47,0.097764,0.107400,,,
48,0.097430,0.107800,,,
49,0.097106,0.108000,,,
50,0.096793,0.108200,,,
51,0.096490,0.108400,,,
52,0.096195,0.109400,,,
53,0.095909,0.110000,,,
54,0.095632,0.111000,,,
55,0.095363,0.111200,,,
56,0.095102,0.111800,,,
57,0.094848,0.112000,,,
58,0.094601,0.112600,,,
59,0.094361,0.113800,,,
60,0.094128,0.114400,,,
61,0.093902,0.115200,,,
62,0.093682,0.116000,,,
63,0.093467,0.116600,,,
64,0.093258,0.117600,,,
65,0.093055,0.118400,,,
66,0.092857,0.118800,,,
67,0.092664,0.119800,,,
68,0.092477,0.120200,,,
69,0.092294,0.120600,,,
70,0.092117,0.121600,,,
71,0.091943,0.123000,,,
72,0.091774,0.124800,,,
73,0.091610,0.126000,,,
74,0.091449,0.127000,,,
75,0.091293,0.128800,,,
76,0.091140,0.129400,,,
77,0.090991,0.131400,,,
78,0.090845,0.131800,,,
79,0.090703,0.133600,,,
80,0.090563,0.134800,,,
81,0.090427,0.137600,,,
82,0.090295,0.140200,,,
83,0.090165,0.142200,,,
84,0.090038,0.144800,,,
85,0.089914,0.147000,,,
86,0.089793,0.151200,,,
87,0.089675,0.154600,,,
88,0.089559,0.159400,,,
89,0.089446,0.163600,,,
90,0.089335,0.170600,,,
91,0.089227,0.174400,,,
92,0.089121,0.178000,,,
93,0.089017,0.180800,,,
94,0.088915,0.186400,,,
95,0.088816,0.189000,,,
96,0.088718,0.193400,,,
97,0.088623,0.197000,,,
98,0.088529,0.200800,,,
99,0.088438,0.205000,,,
100,0.088347,0.209200,,,
101,0.088259,0.215000,,,
102,0.088173,0.218000,,,
103,0.088087,0.220800,,,
104,0.088004,0.222800,,,
105,0.087922,0.225400,,,
106,0.087842,0.227800,,,
107,0.087763,0.230200,,,
108,0.087685,0.235200,,,
109,0.087609,0.239800,,,
110,0.087534,0.241000,,,
111,0.087460,0.243400,,,
112,0.087387,0.245200,,,
113,0.087316,0.246600,,,
114,0.087246,0.248400,,,
115,0.087177,0.250800,,,
116,0.087109,0.253600,,,
117,0.087042,0.256400,,,
118,0.086977,0.258200,,,
119,0.086912,0.260200,,,
120,0.086848,0.262400,,,
121,0.086785,0.264800,,,
122,0.086723,0.267400,,,
123,0.086661,0.270000,,,
124,0.086601,0.269800,,,
125,0.086542,0.272200,,,
126,0.086483,0.273800,,,
127,0.086425,0.276600,,,
128,0.086368,0.279200,,,
129,0.086311,0.280200,,,
130,0.086256,0.281400,,,
131,0.086201,0.282600,,,
132,0.086147,0.284400,,,
133,0.086093,0.286000,,,
134,0.086040,0.287200,,,
135,0.085988,0.289800,,,
136,0.085936,0.290200,,,
137,0.085885,0.291400,,,
138,0.085834,0.292000,,,
139,0.085784,0.291800,,,
140,0.085734,0.294200,,,
141,0.085685,0.295400,,,
142,0.085637,0.297400,,,
143,0.085588,0.299200,,,
144,0.085541,0.299800,,,
145,0.085493,0.300600,,,
146,0.085446,0.301000,,,
147,0.085400,0.302200,,,
148,0.085354,0.302400,,,
149,0.085308,0.303600,,,
150,0.085263,0.303400,,,
151,0.085218,0.303400,,,
152,0.085174,0.304200,,,
153,0.085130,0.305200,,,
154,0.085086,0.305200,,,
155,0.085042,0.308200,,,
156,0.084999,0.309000,,,
157,0.084957,0.309200,,,
158,0.084914,0.310200,,,
159,0.084872,0.311200,,,
160,0.084830,0.311200,,,
161,0.084789,0.311600,,,
162,0.084748,0.311600,,,
163,0.084707,0.311600,,,
164,0.084666,0.312600,,,
165,0.084625,0.312200,,,
166,0.084585,0.313600,,,
167,0.084545,0.313400,,,
168,0.084505,0.315400,,,
169,0.084466,0.315400,,,
170,0.084426,0.316400,,,
171,0.084387,0.317400,,,
