Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.124644,0.110600,,,
2,0.122572,0.109200,,,
3,0.120671,0.108200,,,
4,0.118914,0.108000,,,
5,0.117280,0.107800,,,
6,0.115753,0.107000,,,
7,0.114319,0.107400,,,
8,0.112972,0.107400,,,
9,0.111703,0.107200,,,
10,0.110506,0.107000,,,
11,0.109375,0.107800,,,
12,0.108305,0.107800,,,
13,0.107295,0.108400,,,
14,0.106337,0.109000,,,
15,0.105432,0.109800,,,
16,0.104577,0.109600,,,
17,0.103765,0.109000,,,
18,0.102993,0.109600,,,
19,0.102259,0.108800,,,
20,0.101561,0.111000,,,
21,0.100895,0.111200,,,
22,0.100260,0.113400,,,
23,0.099654,0.113400,,,
24,0.099074,0.116400,,,
25,0.098519,0.117400,,,
26,0.097987,0.120000,,,
27,0.097476,0.123600,,,
28,0.096985,0.127200,,,
29,0.096513,0.130400,,,
30,0.096059,0.132000,,,
31,0.095621,0.136200,,,
32,0.095198,0.138200,,,
33,0.094790,0.140000,,,
34,0.094396,0.144200,,,
35,0.094016,0.147600,,,
36,0.093648,0.152800,,,
37,0.093292,0.157000,,,
38,0.092947,0.162600,,,
39,0.092613,0.164400,,,
40,0.092290,0.170000,,,
41,0.091976,0.174200,,,
42,0.091671,0.179800,,,
43,0.091376,0.184600,,,
44,0.091089,0.189200,,,
45,0.090811,0.193400,,,
46,0.090541,0.197200,,,
47,0.090278,0.202000,,,
48,0.090023,0.208200,,,
49,0.089774,0.213800,,,
50,0.089532,0.218400,,,
51,0.089296,0.222400,,,
52,0.089065,0.227800,,,
53,0.088841,0.232600,,,
54,0.088623,0.238200,,,
55,0.088410,0.243600,,,
56,0.088203,0.250400,,,
57,0.088000,0.258600,,,
58,0.087803,0.266200,,,
59,0.087610,0.275600,,,
60,0.087421,0.284600,,,
61,0.087237,0.293000,,,
62,0.087057,0.303000,,,
63,0.086882,0.310800,,,
64,0.086710,0.320800,,,
65,0.086542,0.328800,,,
66,0.086378,0.336600,,,
67,0.086217,0.342600,,,
68,0.086060,0.348800,,,
69,0.085906,0.356000,,,
70,0.085755,0.362600,,,
71,0.085607,0.368400,,,
72,0.085463,0.375000,,,
73,0.085321,0.379000,,,
74,0.085182,0.385800,,,
75,0.085045,0.390000,,,
76,0.084911,0.396000,,,
77,0.084780,0.398400,,,
78,0.084651,0.402600,,,
79,0.084524,0.405400,,,
80,0.084399,0.411200,,,
81,0.084276,0.415200,,,
82,0.084156,0.419000,,,
83,0.084037,0.420200,,,
84,0.083921,0.423000,,,
85,0.083806,0.428800,,,
86,0.083693,0.433200,,,
87,0.083582,0.434400,,,
88,0.083472,0.436200,,,
89,0.083364,0.437800,,,
90,0.083258,0.440600,,,
91,0.083153,0.443400,,,
92,0.083049,0.445200,,,
93,0.082947,0.446400,,,
94,0.082846,0.446600,,,
95,0.082746,0.447600,,,
96,0.082648,0.449800,,,
97,0.082551,0.450200,,,
98,0.082455,0.450800,,,
99,0.082360,0.452200,,,
100,0.082266,0.452600,,,
101,0.082173,0.454400,,,
102,0.082082,0.454600,,,
103,0.081991,0.455000,,,
104,0.081901,0.455600,,,
105,0.081812,0.457800,,,
106,0.081723,0.458200,,,
107,0.081636,0.459000,,,
108,0.081550,0.459400,,,
109,0.081464,0.461000,,,
110,0.081380,0.463600,,,
111,0.081296,0.465000,,,
112,0.081213,0.466400,,,
113,0.081131,0.466200,,,
114,0.081050,0.467200,,,
115,0.080970,0.468400,,,
116,0.080890,0.470400,,,
117,0.080811,0.470800,,,
118,0.080733,0.471000,,,
119,0.080655,0.470800,,,
120,0.080578,0.471000,,,
121,0.080501,0.471400,,,
122,0.080425,0.471800,,,
123,0.080349,0.472000,,,
124,0.080274,0.473400,,,
125,0.080200,0.474400,,,
126,0.080126,0.474400,,,
127,0.080052,0.475000,,,
128,0.079979,0.476000,,,
129,0.079906,0.477000,,,
130,0.079834,0.477600,,,
131,0.079762,0.478200,,,
132,0.079690,0.478600,,,
133,0.079618,0.479400,,,
134,0.079547,0.480800,,,
135,0.079476,0.482000,,,
136,0.079406,0.482600,,,
137,0.079336,0.482600,,,
138,0.079266,0.483800,,,
139,0.079197,0.484600,,,
140,0.079128,0.485800,,,
141,0.079059,0.486000,,,
142,0.078991,0.487200,,,
143,0.078924,0.487200,,,
144,0.078856,0.487800,,,
145,0.078789,0.488600,,,
146,0.078722,0.489000,,,
147,0.078656,0.488600,,,
148,0.078589,0.488400,,,
149,0.078523,0.490200,,,
150,0.078457,0.490800,,,
151,0.078391,0.491400,,,
152,0.078326,0.492200,,,
153,0.078261,0.492000,,,
154,0.078196,0.493400,,,
155,0.078131,0.494800,,,
156,0.078067,0.495400,,,
157,0.078003,0.495400,,,
158,0.077939,0.497200,,,
159,0.077875,0.498200,,,
160,0.077812,0.500000,,,
161,0.077749,0.501000,,,
162,0.077686,0.501600,,,
163,0.077623,0.503000,,,
164,0.077561,0.504000,,,
165,0.077499,0.504200,,,
166,0.077437,0.506200,,,
167,0.077375,0.506600,,,
168,0.077314,0.506800,,,
169,0.077253,0.507400,,,
170,0.077192,0.508800,,,
171,0.077131,0.509600,,,
172,0.077070,0.511600,,,
173,0.077010,0.512200,,,
174,0.076949,0.513600,,,
175,0.076889,0.514600,,,
176,0.076830,0.515600,,,
