Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.114809,0.092000,,,
2,0.112676,0.092000,,,
3,0.110717,0.092000,,,
4,0.108908,0.092000,,,
5,0.107213,0.092000,,,
6,0.105618,0.092000,,,
7,0.104115,0.091800,,,
8,0.102696,0.091800,,,
9,0.101355,0.092200,,,
10,0.100094,0.093400,,,
11,0.098905,0.095000,,,
12,0.097787,0.097000,,,
13,0.096738,0.103600,,,
14,0.095761,0.111400,,,
15,0.094847,0.120200,,,
16,0.093996,0.129000,,,
17,0.093208,0.142200,,,
18,0.092477,0.151800,,,
19,0.091800,0.162000,,,
20,0.091171,0.176000,,,
21,0.090586,0.188000,,,
22,0.090041,0.201600,,,
23,0.089532,0.218000,,,
24,0.089057,0.230600,,,
25,0.088615,0.243200,,,
26,0.088203,0.253800,,,
27,0.087817,0.264400,,,
28,0.087455,0.272000,,,
29,0.087115,0.282200,,,
30,0.086795,0.286400,,,
31,0.086494,0.292200,,,
32,0.086210,0.296800,,,
33,0.085942,0.302200,,,
34,0.085687,0.305400,,,
35,0.085446,0.308800,,,
36,0.085217,0.310600,,,
37,0.085000,0.312600,,,
38,0.084792,0.314400,,,
39,0.084594,0.318400,,,
40,0.084404,0.318400,,,
41,0.084222,0.320400,,,
42,0.084048,0.323800,,,
43,0.083881,0.327200,,,
44,0.083719,0.332000,,,
45,0.083563,0.334200,,,
46,0.083413,0.335200,,,
47,0.083268,0.337600,,,
48,0.083126,0.342000,,,
49,0.082989,0.343800,,,
50,0.082855,0.346400,,,
51,0.082725,0.348000,,,
52,0.082598,0.350400,,,
53,0.082474,0.353000,,,
54,0.082352,0.353800,,,
55,0.082234,0.356600,,,
56,0.082118,0.359200,,,
57,0.082004,0.361200,,,
58,0.081892,0.362800,,,
59,0.081783,0.363600,,,
60,0.081675,0.365400,,,
61,0.081569,0.367800,,,
62,0.081464,0.370200,,,
63,0.081361,0.370400,,,
64,0.081259,0.372400,,,
65,0.081159,0.373600,,,
66,0.081060,0.375000,,,
67,0.080962,0.376600,,,
68,0.080865,0.379600,,,
69,0.080770,0.381000,,,
70,0.080676,0.383000,,,
71,0.080582,0.385600,,,
72,0.080490,0.388600,,,
73,0.080398,0.390600,,,
74,0.080307,0.391600,,,
75,0.080217,0.393400,,,
76,0.080127,0.395800,,,
77,0.080038,0.397600,,,
78,0.079950,0.400800,,,
79,0.079863,0.402000,,,
80,0.079777,0.404400,,,
81,0.079690,0.405800,,,
82,0.079605,0.406000,,,
83,0.079520,0.407400,,,
84,0.079436,0.408600,,,
85,0.079353,0.409200,,,
86,0.079270,0.410600,,,
87,0.079187,0.410600,,,
88,0.079105,0.412600,,,
89,0.079023,0.413800,,,
90,0.078942,0.414600,,,
91,0.078862,0.415000,,,
92,0.078781,0.417000,,,
93,0.078701,0.418000,,,
94,0.078622,0.419400,,,
95,0.078543,0.420200,,,
96,0.078464,0.421600,,,
97,0.078386,0.423600,,,
98,0.078308,0.425600,,,
99,0.078230,0.428200,,,
100,0.078153,0.429800,,,
101,0.078076,0.431400,,,
102,0.077999,0.432600,,,
103,0.077923,0.433200,,,
104,0.077847,0.435000,,,
105,0.077771,0.436200,,,
106,0.077695,0.437000,,,
107,0.077620,0.438200,,,
108,0.077544,0.438800,,,
109,0.077469,0.440000,,,
110,0.077394,0.441000,,,
111,0.077320,0.441000,,,
112,0.077245,0.441000,,,
113,0.077171,0.441400,,,
114,0.077097,0.442600,,,
115,0.077023,0.443400,,,
116,0.076950,0.445200,,,
117,0.076877,0.447000,,,
118,0.076804,0.447800,,,
119,0.076731,0.448000,,,
120,0.076658,0.449400,,,
121,0.076586,0.450200,,,
122,0.076513,0.451200,,,
123,0.076441,0.452200,,,
124,0.076369,0.453600,,,
125,0.076298,0.455000,,,
126,0.076227,0.455600,,,
127,0.076156,0.456600,,,
128,0.076085,0.457400,,,
129,0.076014,0.458200,,,
130,0.075943,0.459000,,,
131,0.075873,0.460800,,,
132,0.075803,0.462200,,,
133,0.075733,0.463200,,,
134,0.075663,0.464200,,,
135,0.075593,0.465000,,,
136,0.075523,0.465800,,,
137,0.075454,0.466800,,,
138,0.075385,0.467800,,,
139,0.075315,0.468800,,,
140,0.075247,0.470000,,,
141,0.075178,0.470600,,,
142,0.075109,0.471400,,,
143,0.075041,0.471800,,,
144,0.074973,0.472400,,,
145,0.074905,0.473400,,,
146,0.074837,0.473000,,,
147,0.074769,0.474600,,,
148,0.074702,0.475200,,,
149,0.074634,0.477600,,,
150,0.074567,0.478200,,,
151,0.074500,0.480200,,,
152,0.074433,0.480600,,,
153,0.074366,0.482000,,,
154,0.074300,0.482800,,,
155,0.074233,0.484600,,,
156,0.074166,0.486200,,,
157,0.074100,0.487200,,,
158,0.074034,0.488400,,,
159,0.073968,0.488400,,,
160,0.073902,0.489200,,,
161,0.073836,0.489800,,,
162,0.073771,0.491200,,,
163,0.073705,0.492000,,,
164,0.073640,0.493400,,,
165,0.073574,0.493600,,,
166,0.073509,0.494200,,,
167,0.073444,0.495400,,,
168,0.073379,0.496200,,,
169,0.073315,0.497600,,,
170,0.073250,0.498600,,,
171,0.073186,0.499800,,,
172,0.073121,0.501600,,,
173,0.073057,0.502400,,,
174,0.072993,0.503200,,,
175,0.072930,0.503600,,,
176,0.072866,0.504200,,,
177,0.072802,0.504400,,,
178,0.072739,0.506000,,,
179,0.072676,0.506800,,,
