Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.108969,0.104200,,,
2,0.108068,0.105400,,,
3,0.107207,0.105800,,,
4,0.106384,0.107400,,,
5,0.105597,0.108800,,,
6,0.104844,0.109000,,,
7,0.104122,0.109800,,,
8,0.103430,0.112800,,,
9,0.102766,0.114200,,,
10,0.102129,0.115200,,,
11,0.101518,0.117000,,,
12,0.100931,0.118000,,,
13,0.100368,0.118200,,,
14,0.099827,0.119800,,,
15,0.099307,0.120600,,,
16,0.098807,0.123400,,,
17,0.098326,0.123800,,,
18,0.097865,0.125800,,,
19,0.097422,0.127400,,,
20,0.096996,0.131400,,,
21,0.096586,0.134600,,,
22,0.096192,0.136800,,,
23,0.095814,0.141000,,,
24,0.095450,0.145000,,,
25,0.095100,0.150600,,,
26,0.094764,0.154600,,,
27,0.094440,0.156800,,,
28,0.094129,0.161000,,,
29,0.093828,0.163800,,,
30,0.093539,0.167800,,,
31,0.093261,0.172200,,,
32,0.092993,0.176000,,,
33,0.092736,0.179400,,,
34,0.092488,0.181800,,,
35,0.092249,0.186000,,,
36,0.092019,0.188800,,,
37,0.091797,0.193200,,,
38,0.091583,0.196400,,,
39,0.091378,0.199400,,,
40,0.091179,0.201000,,,
41,0.090988,0.203800,,,
42,0.090804,0.206000,,,
43,0.090627,0.208800,,,
44,0.090456,0.213200,,,
45,0.090291,0.216000,,,
46,0.090131,0.218400,,,
47,0.089978,0.220200,,,
48,0.089829,0.222400,,,
49,0.089686,0.224800,,,
50,0.089547,0.226400,,,
51,0.089414,0.229000,,,
52,0.089284,0.229800,,,
53,0.089159,0.232200,,,
54,0.089037,0.235400,,,
55,0.088920,0.238000,,,
56,0.088805,0.240800,,,
57,0.088695,0.243000,,,
58,0.088587,0.244600,,,
59,0.088483,0.246800,,,
60,0.088382,0.248200,,,
61,0.088283,0.251200,,,
62,0.088187,0.252200,,,
63,0.088094,0.254000,,,
