Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.124644,0.110600,,,
2,0.123338,0.109600,,,
3,0.122101,0.109000,,,
4,0.120926,0.108400,,,
5,0.119808,0.108400,,,
6,0.118740,0.108000,,,
7,0.117718,0.108200,,,
8,0.116737,0.107600,,,
9,0.115797,0.107600,,,
10,0.114892,0.107400,,,
11,0.114021,0.107400,,,
12,0.113184,0.107400,,,
13,0.112377,0.107400,,,
14,0.111598,0.107800,,,
15,0.110847,0.107600,,,
16,0.110123,0.107800,,,
17,0.109424,0.108200,,,
18,0.108748,0.108000,,,
19,0.108096,0.108400,,,
20,0.107466,0.108600,,,
21,0.106857,0.108600,,,
22,0.106269,0.109600,,,
23,0.105701,0.110000,,,
24,0.105153,0.110000,,,
25,0.104623,0.109600,,,
26,0.104110,0.108800,,,
27,0.103613,0.109200,,,
28,0.103132,0.109000,,,
29,0.102665,0.109200,,,
30,0.102213,0.108800,,,
31,0.101774,0.110200,,,
32,0.101349,0.111200,,,
33,0.100936,0.111200,,,
34,0.100535,0.112800,,,
35,0.100146,0.113600,,,
36,0.099767,0.114000,,,
37,0.099400,0.114800,,,
38,0.099042,0.116400,,,
39,0.098693,0.117600,,,
40,0.098354,0.118200,,,
41,0.098023,0.120400,,,
42,0.097700,0.122200,,,
43,0.097386,0.124600,,,
44,0.097079,0.126600,,,
45,0.096780,0.128200,,,
46,0.096488,0.130800,,,
47,0.096203,0.132400,,,
48,0.095924,0.134400,,,
49,0.095651,0.136800,,,
50,0.095385,0.137200,,,
51,0.095124,0.138600,,,
52,0.094869,0.140000,,,
53,0.094620,0.142600,,,
54,0.094376,0.144600,,,
55,0.094137,0.146200,,,
56,0.093903,0.148800,,,
57,0.093674,0.152800,,,
58,0.093450,0.155600,,,
59,0.093230,0.157000,,,
60,0.093015,0.161600,,,
61,0.092803,0.164000,,,
62,0.092596,0.165200,,,
63,0.092393,0.168600,,,
64,0.092193,0.170800,,,
65,0.091998,0.174200,,,
66,0.091806,0.178200,,,
67,0.091618,0.181400,,,
68,0.091433,0.184400,,,
69,0.091252,0.187000,,,
70,0.091074,0.189600,,,
71,0.090899,0.193000,,,
72,0.090728,0.196000,,,
73,0.090559,0.197400,,,
74,0.090394,0.200200,,,
75,0.090231,0.203400,,,
76,0.090071,0.207400,,,
77,0.089913,0.211800,,,
78,0.089759,0.215200,,,
79,0.089606,0.217400,,,
80,0.089456,0.219800,,,
81,0.089309,0.222200,,,
82,0.089164,0.226600,,,
83,0.089021,0.229400,,,
84,0.088881,0.232600,,,
85,0.088743,0.234400,,,
86,0.088608,0.238400,,,
87,0.088474,0.242000,,,
88,0.088343,0.246200,,,
89,0.088214,0.250600,,,
90,0.088086,0.254800,,,
91,0.087961,0.259400,,,
92,0.087837,0.265800,,,
93,0.087715,0.270800,,,
94,0.087595,0.277000,,,
95,0.087476,0.280800,,,
96,0.087360,0.287600,,,
97,0.087245,0.292400,,,
98,0.087132,0.297800,,,
99,0.087020,0.305200,,,
100,0.086910,0.310600,,,
101,0.086802,0.315400,,,
102,0.086695,0.321600,,,
103,0.086589,0.327000,,,
104,0.086485,0.332800,,,
105,0.086383,0.337400,,,
106,0.086282,0.341000,,,
107,0.086182,0.343400,,,
108,0.086083,0.347200,,,
109,0.085986,0.352400,,,
110,0.085890,0.355400,,,
111,0.085795,0.361400,,,
112,0.085702,0.365000,,,
113,0.085609,0.368600,,,
114,0.085518,0.371600,,,
115,0.085428,0.375600,,,
116,0.085339,0.379000,,,
117,0.085252,0.382000,,,
118,0.085165,0.386600,,,
119,0.085080,0.389200,,,
120,0.084995,0.391800,,,
121,0.084911,0.395800,,,
122,0.084828,0.398000,,,
123,0.084747,0.398800,,,
124,0.084666,0.401200,,,
125,0.084586,0.403400,,,
126,0.084506,0.405800,,,
127,0.084428,0.409000,,,
128,0.084350,0.413000,,,
129,0.084274,0.415600,,,
130,0.084198,0.418200,,,
131,0.084123,0.419400,,,
132,0.084049,0.420000,,,
133,0.083975,0.422200,,,
134,0.083902,0.424400,,,
135,0.083830,0.427000,,,
136,0.083759,0.430000,,,
137,0.083688,0.433600,,,
138,0.083618,0.434800,,,
139,0.083549,0.434800,,,
140,0.083480,0.435800,,,
141,0.083412,0.436800,,,
142,0.083345,0.438400,,,
143,0.083278,0.440200,,,
144,0.083212,0.442600,,,
145,0.083146,0.443200,,,
146,0.083081,0.444400,,,
147,0.083016,0.446000,,,
148,0.082952,0.446200,,,
149,0.082889,0.447800,,,
150,0.082826,0.448600,,,
151,0.082763,0.448600,,,
152,0.082701,0.449400,,,
153,0.082640,0.451200,,,
154,0.082579,0.451200,,,
155,0.082518,0.450200,,,
156,0.082458,0.451200,,,
157,0.082398,0.452600,,,
158,0.082339,0.453000,,,
159,0.082280,0.452800,,,
160,0.082222,0.453000,,,
161,0.082163,0.455000,,,
162,0.082106,0.454200,,,
163,0.082049,0.454400,,,
164,0.081992,0.455800,,,
165,0.081935,0.455200,,,
166,0.081879,0.456000,,,
167,0.081823,0.457600,,,
168,0.081767,0.458400,,,
169,0.081712,0.458400,,,
170,0.081657,0.459200,,,
171,0.081603,0.459000,,,
172,0.081549,0.460200,,,
173,0.081495,0.460400,,,
174,0.081442,0.461800,,,
175,0.081389,0.462800,,,
176,0.081336,0.464600,,,
177,0.081284,0.465400,,,
178,0.081232,0.466400,,,
179,0.081180,0.466800,,,
180,0.081129,0.466800,,,
181,0.081078,0.467400,,,
182,0.081027,0.467400,,,
183,0.080977,0.468200,,,
184,0.080927,0.469000,,,
185,0.080877,0.470200,,,
186,0.080828,0.470800,,,
187,0.080778,0.471200,,,
188,0.080729,0.471600,,,
189,0.080680,0.471600,,,
190,0.080632,0.470800,,,
191,0.080583,0.471200,,,
192,0.080535,0.471400,,,
193,0.080487,0.471600,,,
194,0.080439,0.472600,,,
195,0.080391,0.473000,,,
196,0.080344,0.473800,,,
197,0.080297,0.474200,,,
198,0.080250,0.474600,,,
199,0.080203,0.474600,,,
200,0.080157,0.475000,,,
201,0.080110,0.475400,,,
202,0.080064,0.475200,,,
203,0.080018,0.475800,,,
204,0.079972,0.476400,,,
205,0.079927,0.477800,,,
206,0.079881,0.478000,,,
207,0.079836,0.477800,,,
208,0.079791,0.478000,,,
209,0.079745,0.479000,,,
210,0.079700,0.479400,,,
211,0.079656,0.479400,,,
212,0.079611,0.479800,,,
213,0.079566,0.481400,,,
214,0.079522,0.482000,,,
215,0.079477,0.482400,,,
216,0.079433,0.483000,,,
