Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.132558,0.109400,,,
2,0.130960,0.109800,,,
3,0.129427,0.109800,,,
4,0.127957,0.110000,,,
5,0.126544,0.110200,,,
6,0.125186,0.110600,,,
7,0.123880,0.111200,,,
8,0.122625,0.111800,,,
9,0.121419,0.111800,,,
10,0.120260,0.111600,,,
11,0.119145,0.111600,,,
12,0.118072,0.111600,,,
13,0.117040,0.111600,,,
14,0.116046,0.111400,,,
15,0.115090,0.111000,,,
16,0.114170,0.110800,,,
17,0.113284,0.110600,,,
18,0.112430,0.110600,,,
19,0.111607,0.110200,,,
20,0.110814,0.110200,,,
21,0.110050,0.110000,,,
22,0.109314,0.109400,,,
23,0.108603,0.108600,,,
24,0.107918,0.108000,,,
25,0.107256,0.107400,,,
26,0.106618,0.107000,,,
27,0.106002,0.106000,,,
28,0.105408,0.105600,,,
29,0.104835,0.105000,,,
30,0.104281,0.104200,,,
31,0.103747,0.102800,,,
32,0.103230,0.101800,,,
33,0.102731,0.101000,,,
34,0.102249,0.100400,,,
35,0.101784,0.100400,,,
36,0.101335,0.100000,,,
37,0.100900,0.099400,,,
38,0.100480,0.099400,,,
39,0.100074,0.099400,,,
40,0.099682,0.099400,,,
41,0.099302,0.099400,,,
42,0.098935,0.098400,,,
43,0.098579,0.099400,,,
44,0.098236,0.098600,,,
45,0.097904,0.099000,,,
46,0.097582,0.099000,,,
47,0.097271,0.100200,,,
48,0.096970,0.101000,,,
49,0.096678,0.103800,,,
50,0.096396,0.105600,,,
51,0.096123,0.107000,,,
52,0.095858,0.108600,,,
53,0.095602,0.110600,,,
54,0.095354,0.112800,,,
55,0.095113,0.114400,,,
56,0.094880,0.117000,,,
57,0.094654,0.118600,,,
58,0.094435,0.119400,,,
59,0.094223,0.122000,,,
60,0.094017,0.124800,,,
61,0.093817,0.128000,,,
62,0.093623,0.131200,,,
63,0.093434,0.132600,,,
64,0.093251,0.135200,,,
65,0.093074,0.137600,,,
66,0.092901,0.141200,,,
67,0.092733,0.143200,,,
68,0.092570,0.144600,,,
69,0.092411,0.146400,,,
70,0.092257,0.149000,,,
71,0.092107,0.150200,,,
72,0.091961,0.152000,,,
73,0.091819,0.154200,,,
74,0.091680,0.155800,,,
75,0.091546,0.157200,,,
76,0.091415,0.158800,,,
77,0.091287,0.161200,,,
78,0.091163,0.163400,,,
79,0.091042,0.165600,,,
80,0.090923,0.167000,,,
81,0.090808,0.168000,,,
82,0.090695,0.169800,,,
83,0.090585,0.169600,,,
84,0.090477,0.171000,,,
85,0.090372,0.172200,,,
86,0.090269,0.172800,,,
87,0.090168,0.173800,,,
88,0.090069,0.174400,,,
89,0.089972,0.176000,,,
90,0.089878,0.177600,,,
91,0.089786,0.180200,,,
92,0.089695,0.181000,,,
93,0.089606,0.181400,,,
94,0.089519,0.184600,,,
95,0.089434,0.185400,,,
96,0.089351,0.186200,,,
97,0.089269,0.186600,,,
98,0.089188,0.189400,,,
99,0.089110,0.190800,,,
100,0.089032,0.191800,,,
101,0.088956,0.193200,,,
102,0.088882,0.193000,,,
103,0.088809,0.195200,,,
104,0.088738,0.196200,,,
105,0.088668,0.196600,,,
106,0.088599,0.197800,,,
107,0.088531,0.199800,,,
108,0.088465,0.201000,,,
109,0.088400,0.202200,,,
110,0.088335,0.203800,,,
111,0.088272,0.205400,,,
112,0.088210,0.206400,,,
113,0.088148,0.207400,,,
114,0.088088,0.207600,,,
115,0.088028,0.208600,,,
116,0.087969,0.210000,,,
117,0.087911,0.211400,,,
118,0.087854,0.213600,,,
119,0.087797,0.214200,,,
120,0.087741,0.213800,,,
121,0.087686,0.215200,,,
122,0.087632,0.217200,,,
123,0.087578,0.219000,,,
124,0.087525,0.221000,,,
125,0.087472,0.221800,,,
126,0.087421,0.222000,,,
127,0.087369,0.223400,,,
128,0.087318,0.224400,,,
129,0.087268,0.225400,,,
130,0.087218,0.226200,,,
131,0.087168,0.227400,,,
132,0.087119,0.228600,,,
133,0.087070,0.230000,,,
134,0.087022,0.230400,,,
135,0.086974,0.231800,,,
136,0.086926,0.233800,,,
137,0.086878,0.235200,,,
138,0.086831,0.236800,,,
139,0.086785,0.239000,,,
140,0.086738,0.240600,,,
141,0.086692,0.243200,,,
142,0.086647,0.244200,,,
143,0.086602,0.246800,,,
144,0.086557,0.251000,,,
145,0.086513,0.252400,,,
146,0.086469,0.255200,,,
147,0.086425,0.259400,,,
148,0.086382,0.264600,,,
149,0.086338,0.268400,,,
150,0.086295,0.272400,,,
151,0.086253,0.275800,,,
152,0.086211,0.280400,,,
153,0.086169,0.284000,,,
154,0.086127,0.287800,,,
155,0.086085,0.291400,,,
156,0.086043,0.295400,,,
157,0.086002,0.298400,,,
158,0.085961,0.298600,,,
159,0.085920,0.301000,,,
160,0.085879,0.303200,,,
161,0.085838,0.304800,,,
162,0.085797,0.307000,,,
163,0.085757,0.308600,,,
164,0.085717,0.309800,,,
165,0.085677,0.312600,,,
166,0.085637,0.313800,,,
167,0.085597,0.313600,,,
168,0.085558,0.313800,,,
169,0.085518,0.314400,,,
170,0.085479,0.315000,,,
171,0.085440,0.315600,,,
172,0.085401,0.317000,,,
173,0.085362,0.317400,,,
174,0.085323,0.318400,,,
175,0.085284,0.320200,,,
176,0.085246,0.320200,,,
177,0.085207,0.320600,,,
178,0.085169,0.321000,,,
179,0.085131,0.320200,,,
180,0.085093,0.320200,,,
181,0.085054,0.321200,,,
182,0.085016,0.321800,,,
183,0.084978,0.322800,,,
184,0.084940,0.323800,,,
185,0.084902,0.324800,,,
186,0.084864,0.324600,,,
187,0.084827,0.324400,,,
188,0.084789,0.323800,,,
189,0.084751,0.324600,,,
190,0.084714,0.324800,,,
191,0.084676,0.326200,,,
192,0.084638,0.326600,,,
193,0.084601,0.327000,,,
194,0.084564,0.328400,,,
195,0.084527,0.328400,,,
196,0.084490,0.329200,,,
197,0.084453,0.329600,,,
198,0.084416,0.329600,,,
199,0.084379,0.331000,,,
200,0.084342,0.331800,,,
201,0.084305,0.332200,,,
202,0.084269,0.333000,,,
203,0.084232,0.333400,,,
204,0.084195,0.335200,,,
205,0.084159,0.335800,,,
206,0.084122,0.336400,,,
207,0.084086,0.337200,,,
208,0.084050,0.339000,,,
209,0.084013,0.339600,,,
210,0.083977,0.339200,,,
211,0.083941,0.339800,,,
212,0.083905,0.340400,,,
213,0.083869,0.342200,,,
214,0.083833,0.343800,,,
215,0.083797,0.344400,,,
216,0.083761,0.344800,,,
217,0.083725,0.346200,,,
218,0.083689,0.346800,,,
219,0.083653,0.346600,,,
220,0.083617,0.347400,,,
221,0.083582,0.347600,,,
222,0.083546,0.349000,,,
223,0.083510,0.349600,,,
224,0.083475,0.350200,,,
225,0.083439,0.351200,,,
226,0.083403,0.352800,,,
227,0.083367,0.353400,,,
228,0.083332,0.353800,,,
229,0.083296,0.354200,,,
230,0.083261,0.355200,,,
231,0.083225,0.355600,,,
232,0.083190,0.355400,,,
233,0.083154,0.355600,,,
234,0.083119,0.355600,,,
235,0.083083,0.356600,,,
236,0.083048,0.356400,,,
237,0.083012,0.357000,,,
238,0.082977,0.357800,,,
239,0.082941,0.358400,,,
240,0.082906,0.360000,,,
241,0.082871,0.360600,,,
242,0.082836,0.361000,,,
243,0.082800,0.361600,,,
244,0.082765,0.362000,,,
245,0.082730,0.361800,,,
246,0.082695,0.363000,,,
247,0.082659,0.364000,,,
248,0.082624,0.364400,,,
249,0.082589,0.364600,,,
250,0.082554,0.365400,,,
251,0.082519,0.366000,,,
252,0.082484,0.367200,,,
253,0.082449,0.367800,,,
254,0.082413,0.368400,,,
255,0.082378,0.368800,,,
256,0.082343,0.369000,,,
257,0.082308,0.369400,,,
258,0.082273,0.370200,,,
259,0.082238,0.371000,,,
260,0.082203,0.371600,,,
261,0.082168,0.371800,,,
262,0.082133,0.372000,,,
263,0.082098,0.373200,,,
264,0.082063,0.373400,,,
265,0.082028,0.374400,,,
266,0.081993,0.374400,,,
267,0.081958,0.374600,,,
268,0.081923,0.375600,,,
269,0.081888,0.376200,,,
270,0.081854,0.376600,,,
271,0.081819,0.377000,,,
272,0.081784,0.378200,,,
273,0.081749,0.377800,,,
274,0.081715,0.378600,,,
275,0.081680,0.379200,,,
276,0.081646,0.380000,,,
277,0.081611,0.380200,,,
278,0.081576,0.380400,,,
279,0.081542,0.380400,,,
280,0.081507,0.381800,,,
281,0.081473,0.382800,,,
282,0.081438,0.383200,,,
283,0.081403,0.384000,,,
284,0.081369,0.384000,,,
285,0.081334,0.384800,,,
286,0.081300,0.385000,,,
287,0.081265,0.385200,,,
288,0.081231,0.386200,,,
289,0.081196,0.386400,,,
290,0.081162,0.386800,,,
291,0.081127,0.387400,,,
292,0.081092,0.387800,,,
293,0.081058,0.388200,,,
294,0.081023,0.388600,,,
295,0.080989,0.389200,,,
296,0.080954,0.389600,,,
297,0.080919,0.390200,,,
298,0.080885,0.390800,,,
299,0.080850,0.392000,,,
300,0.080816,0.393000,,,
301,0.080781,0.393000,,,
302,0.080747,0.392600,,,
303,0.080712,0.393200,,,
304,0.080678,0.393000,,,
305,0.080643,0.393200,,,
306,0.080609,0.394000,,,
307,0.080574,0.395000,,,
308,0.080540,0.395600,,,
309,0.080505,0.396400,,,
310,0.080470,0.396600,,,
311,0.080435,0.396800,,,
312,0.080401,0.396800,,,
313,0.080366,0.397400,,,
314,0.080331,0.397600,,,
315,0.080297,0.397600,,,
316,0.080262,0.398400,,,
317,0.080227,0.398400,,,
318,0.080193,0.398800,,,
319,0.080158,0.399200,,,
320,0.080123,0.399600,,,
321,0.080088,0.399600,,,
322,0.080053,0.400200,,,
323,0.080019,0.401000,,,
324,0.079984,0.401400,,,
325,0.079949,0.401800,,,
326,0.079914,0.402000,,,
327,0.079879,0.402400,,,
328,0.079844,0.403000,,,
329,0.079809,0.403800,,,
330,0.079774,0.404400,,,
331,0.079739,0.404800,,,
332,0.079704,0.404800,,,
333,0.079669,0.405400,,,
334,0.079634,0.406000,,,
335,0.079598,0.406200,,,
336,0.079563,0.406800,,,
337,0.079528,0.407400,,,
338,0.079493,0.408400,,,
339,0.079458,0.409600,,,
340,0.079423,0.411000,,,
341,0.079388,0.410800,,,
342,0.079353,0.410800,,,
343,0.079318,0.411400,,,
344,0.079283,0.412400,,,
345,0.079248,0.413200,,,
346,0.079212,0.412800,,,
347,0.079177,0.414000,,,
348,0.079142,0.414600,,,
349,0.079107,0.415800,,,
350,0.079072,0.416400,,,
351,0.079036,0.417000,,,
352,0.079001,0.417600,,,
353,0.078966,0.418800,,,
354,0.078931,0.419600,,,
355,0.078896,0.420000,,,
356,0.078861,0.420600,,,
357,0.078826,0.421600,,,
358,0.078791,0.421800,,,
359,0.078756,0.422400,,,
360,0.078721,0.422400,,,
361,0.078686,0.422400,,,
362,0.078651,0.423800,,,
363,0.078616,0.424400,,,
364,0.078580,0.424800,,,
365,0.078545,0.425600,,,
366,0.078510,0.425600,,,
367,0.078475,0.425600,,,
368,0.078440,0.425400,,,
369,0.078404,0.426400,,,
370,0.078369,0.427200,,,
371,0.078334,0.427400,,,
372,0.078299,0.427400,,,
373,0.078264,0.428200,,,
374,0.078229,0.428600,,,
375,0.078194,0.429800,,,
376,0.078158,0.430600,,,
377,0.078123,0.430800,,,
378,0.078088,0.431000,,,
379,0.078053,0.431400,,,
380,0.078018,0.432400,,,
381,0.077983,0.432600,,,
382,0.077948,0.433200,,,
383,0.077913,0.433400,,,
384,0.077877,0.433000,,,
385,0.077842,0.433800,,,
386,0.077807,0.434600,,,
387,0.077771,0.435600,,,
388,0.077736,0.435800,,,
389,0.077701,0.436600,,,
390,0.077666,0.437200,,,
391,0.077630,0.437800,,,
392,0.077595,0.437600,,,
393,0.077560,0.438200,,,
394,0.077524,0.438800,,,
395,0.077489,0.439600,,,
396,0.077454,0.440200,,,
397,0.077418,0.441400,,,
398,0.077383,0.442400,,,
399,0.077348,0.443800,,,
400,0.077312,0.444000,,,
401,0.077277,0.444600,,,
402,0.077241,0.445800,,,
403,0.077205,0.446800,,,
404,0.077170,0.447400,,,
405,0.077134,0.448200,,,
406,0.077099,0.448800,,,
407,0.077063,0.449800,,,
408,0.077028,0.450400,,,
409,0.076992,0.451600,,,
410,0.076957,0.452400,,,
411,0.076921,0.453400,,,
412,0.076885,0.454200,,,
413,0.076850,0.454800,,,
414,0.076814,0.455200,,,
415,0.076778,0.456200,,,
416,0.076743,0.456800,,,
417,0.076707,0.457200,,,
418,0.076671,0.458200,,,
419,0.076635,0.458800,,,
420,0.076599,0.459600,,,
421,0.076564,0.460200,,,
422,0.076528,0.460800,,,
423,0.076492,0.461400,,,
424,0.076457,0.462000,,,
425,0.076421,0.462000,,,
426,0.076385,0.462400,,,
427,0.076350,0.463200,,,
428,0.076314,0.464000,,,
429,0.076278,0.465000,,,
430,0.076243,0.465400,,,
431,0.076207,0.465800,,,
432,0.076171,0.466000,,,
433,0.076135,0.466600,,,
434,0.076099,0.467400,,,
435,0.076064,0.468400,,,
436,0.076028,0.469000,,,
437,0.075992,0.469200,,,
438,0.075956,0.470400,,,
439,0.075920,0.471000,,,
440,0.075884,0.472400,,,
441,0.075848,0.472800,,,
442,0.075812,0.473600,,,
443,0.075776,0.473800,,,
444,0.075739,0.474600,,,
445,0.075703,0.475600,,,
446,0.075667,0.476200,,,
447,0.075631,0.476600,,,
448,0.075595,0.477000,,,
449,0.075559,0.477800,,,
450,0.075523,0.478400,,,
451,0.075487,0.477800,,,
452,0.075450,0.477400,,,
453,0.075414,0.478000,,,
454,0.075378,0.478400,,,
455,0.075342,0.479200,,,
456,0.075305,0.480400,,,
457,0.075269,0.481200,,,
458,0.075233,0.482800,,,
459,0.075196,0.484200,,,
460,0.075160,0.484400,,,
461,0.075123,0.485800,,,
462,0.075087,0.486200,,,
463,0.075050,0.487400,,,
464,0.075014,0.488400,,,
465,0.074977,0.488800,,,
466,0.074941,0.490200,,,
467,0.074904,0.491000,,,
468,0.074868,0.492200,,,
469,0.074831,0.493000,,,
470,0.074795,0.493800,,,
471,0.074758,0.493800,,,
472,0.074722,0.494600,,,
473,0.074685,0.495200,,,
474,0.074649,0.495800,,,
475,0.074612,0.497000,,,
476,0.074575,0.497600,,,
477,0.074538,0.498400,,,
478,0.074501,0.498600,,,
479,0.074465,0.499400,,,
480,0.074428,0.499800,,,
481,0.074391,0.500000,,,
482,0.074354,0.500400,,,
483,0.074317,0.501600,,,
484,0.074280,0.502200,,,
485,0.074243,0.503200,,,
486,0.074206,0.503800,,,
487,0.074169,0.504200,,,
488,0.074132,0.505000,,,
489,0.074095,0.506000,,,
490,0.074058,0.506800,,,
491,0.074021,0.507400,,,
492,0.073984,0.507400,,,
493,0.073947,0.508400,,,
494,0.073910,0.510400,,,
495,0.073873,0.510800,,,
496,0.073836,0.511600,,,
497,0.073799,0.512400,,,
498,0.073761,0.513400,,,
499,0.073724,0.514400,,,
500,0.073687,0.515400,,,
501,0.073650,0.516200,,,
502,0.073613,0.517200,,,
503,0.073575,0.518000,,,
504,0.073538,0.518200,,,
505,0.073501,0.519400,,,
506,0.073463,0.520800,,,
507,0.073426,0.521600,,,
508,0.073389,0.522400,,,
509,0.073351,0.522600,,,
510,0.073313,0.523200,,,
511,0.073275,0.524000,,,
512,0.073238,0.524600,,,
513,0.073200,0.525600,,,
514,0.073162,0.526800,,,
515,0.073124,0.526800,,,
516,0.073087,0.527600,,,
517,0.073049,0.528200,,,
518,0.073011,0.528600,,,
519,0.072973,0.530000,,,
520,0.072935,0.530800,,,
521,0.072898,0.531400,,,
522,0.072860,0.531800,,,
523,0.072822,0.532800,,,
524,0.072785,0.533000,,,
525,0.072747,0.533600,,,
526,0.072709,0.535200,,,
527,0.072672,0.537200,,,
528,0.072634,0.539000,,,
529,0.072596,0.540200,,,
530,0.072558,0.541000,,,
531,0.072520,0.541200,,,
532,0.072483,0.543000,,,
533,0.072444,0.543800,,,
534,0.072406,0.544200,,,
535,0.072368,0.544600,,,
536,0.072330,0.545600,,,
537,0.072292,0.546400,,,
538,0.072254,0.547000,,,
539,0.072216,0.548400,,,
540,0.072178,0.549200,,,
541,0.072139,0.549400,,,
542,0.072101,0.549800,,,
543,0.072063,0.551000,,,
544,0.072025,0.551800,,,
545,0.071987,0.552400,,,
546,0.071949,0.553400,,,
547,0.071910,0.554600,,,
548,0.071872,0.555200,,,
549,0.071834,0.555600,,,
550,0.071795,0.556000,,,
551,0.071757,0.557000,,,
552,0.071719,0.557600,,,
553,0.071681,0.558400,,,
554,0.071642,0.559400,,,
555,0.071604,0.561400,,,
556,0.071566,0.562400,,,
557,0.071527,0.562800,,,
558,0.071489,0.563800,,,
559,0.071451,0.564200,,,
560,0.071413,0.565400,,,
561,0.071375,0.565800,,,
562,0.071337,0.566400,,,
563,0.071299,0.566800,,,
564,0.071261,0.567800,,,
565,0.071223,0.569200,,,
566,0.071185,0.569400,,,
567,0.071147,0.570000,,,
568,0.071109,0.571000,,,
569,0.071072,0.572000,,,
570,0.071034,0.573200,,,
571,0.070996,0.573800,,,
572,0.070959,0.574600,,,
573,0.070921,0.574600,,,
574,0.070884,0.575600,,,
575,0.070846,0.576400,,,
576,0.070809,0.576800,,,
577,0.070772,0.576800,,,
578,0.070734,0.577600,,,
579,0.070697,0.578600,,,
580,0.070660,0.578600,,,
581,0.070623,0.579400,,,
582,0.070586,0.580200,,,
583,0.070549,0.580800,,,
584,0.070512,0.581200,,,
585,0.070475,0.582000,,,
