Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.109705,0.098200,,,
2,0.108913,0.098200,,,
3,0.108159,0.098400,,,
4,0.107439,0.097400,,,
5,0.106752,0.097400,,,
6,0.106094,0.097200,,,
7,0.105464,0.097400,,,
8,0.104859,0.096600,,,
9,0.104278,0.095800,,,
10,0.103719,0.095600,,,
11,0.103179,0.095000,,,
12,0.102659,0.094800,,,
13,0.102157,0.094000,,,
14,0.101670,0.093600,,,
15,0.101200,0.094000,,,
16,0.100745,0.094400,,,
17,0.100304,0.094400,,,
18,0.099876,0.094600,,,
19,0.099463,0.094000,,,
20,0.099062,0.095000,,,
21,0.098673,0.095400,,,
22,0.098296,0.096200,,,
23,0.097930,0.096800,,,
24,0.097574,0.098800,,,
25,0.097227,0.099400,,,
26,0.096890,0.100400,,,
27,0.096562,0.101800,,,
28,0.096243,0.103000,,,
29,0.095933,0.103600,,,
30,0.095631,0.105400,,,
31,0.095337,0.106200,,,
32,0.095050,0.107600,,,
33,0.094771,0.108800,,,
34,0.094499,0.111200,,,
35,0.094234,0.112800,,,
36,0.093976,0.115200,,,
37,0.093724,0.117600,,,
38,0.093479,0.120600,,,
39,0.093240,0.123000,,,
40,0.093007,0.125200,,,
41,0.092780,0.127200,,,
42,0.092560,0.129800,,,
43,0.092345,0.132800,,,
44,0.092135,0.135400,,,
45,0.091930,0.138600,,,
46,0.091731,0.144600,,,
47,0.091536,0.148200,,,
48,0.091347,0.152400,,,
49,0.091161,0.158400,,,
50,0.090981,0.164800,,,
51,0.090805,0.169000,,,
52,0.090633,0.177400,,,
53,0.090465,0.182400,,,
54,0.090301,0.187600,,,
55,0.090140,0.193800,,,
56,0.089984,0.200400,,,
57,0.089830,0.205000,,,
58,0.089680,0.211000,,,
59,0.089533,0.217000,,,
60,0.089389,0.222800,,,
61,0.089249,0.229400,,,
62,0.089111,0.234400,,,
63,0.088977,0.237800,,,
64,0.088845,0.243000,,,
65,0.088716,0.249000,,,
66,0.088590,0.255600,,,
67,0.088467,0.259400,,,
68,0.088346,0.265200,,,
69,0.088227,0.269600,,,
70,0.088110,0.272200,,,
71,0.087996,0.276600,,,
72,0.087884,0.280600,,,
73,0.087774,0.286200,,,
74,0.087666,0.288800,,,
75,0.087560,0.291400,,,
76,0.087456,0.293000,,,
