Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.127000,0.111000,,,
2,0.125389,0.111000,,,
3,0.123886,0.111000,,,
4,0.122484,0.111800,,,
5,0.121173,0.112800,,,
6,0.119946,0.114000,,,
7,0.118793,0.115800,,,
8,0.117705,0.119000,,,
9,0.116674,0.122400,,,
10,0.115694,0.125600,,,
11,0.114762,0.128600,,,
12,0.113870,0.132400,,,
13,0.113016,0.134800,,,
14,0.112197,0.138000,,,
15,0.111411,0.142200,,,
16,0.110654,0.144400,,,
17,0.109923,0.147400,,,
18,0.109218,0.150200,,,
19,0.108535,0.154400,,,
20,0.107875,0.156200,,,
21,0.107236,0.157200,,,
22,0.106616,0.159000,,,
23,0.106015,0.161000,,,
24,0.105432,0.162600,,,
25,0.104866,0.163800,,,
26,0.104316,0.164200,,,
27,0.103782,0.166600,,,
28,0.103261,0.168000,,,
29,0.102754,0.168400,,,
30,0.102261,0.168800,,,
31,0.101781,0.169600,,,
32,0.101312,0.170800,,,
33,0.100854,0.171600,,,
34,0.100407,0.172400,,,
35,0.099969,0.173600,,,
36,0.099541,0.174000,,,
37,0.099122,0.174800,,,
38,0.098712,0.176000,,,
39,0.098310,0.176200,,,
40,0.097916,0.176800,,,
41,0.097529,0.177200,,,
42,0.097150,0.178600,,,
43,0.096777,0.180600,,,
44,0.096411,0.182000,,,
45,0.096051,0.182400,,,
46,0.095699,0.184000,,,
47,0.095353,0.185400,,,
48,0.095015,0.186400,,,
49,0.094685,0.187400,,,
50,0.094362,0.188600,,,
51,0.094045,0.189800,,,
52,0.093735,0.191400,,,
53,0.093433,0.194400,,,
54,0.093138,0.197000,,,
55,0.092850,0.199400,,,
56,0.092569,0.203000,,,
57,0.092297,0.206600,,,
58,0.092034,0.210200,,,
59,0.091778,0.212200,,,
60,0.091530,0.214400,,,
61,0.091291,0.219000,,,
62,0.091061,0.222600,,,
63,0.090839,0.226600,,,
64,0.090626,0.229600,,,
65,0.090420,0.232400,,,
66,0.090222,0.237800,,,
67,0.090032,0.240800,,,
68,0.089848,0.244400,,,
69,0.089670,0.247000,,,
70,0.089500,0.249000,,,
71,0.089335,0.251600,,,
72,0.089176,0.254800,,,
73,0.089023,0.256800,,,
74,0.088875,0.258800,,,
75,0.088733,0.261400,,,
76,0.088595,0.262600,,,
77,0.088462,0.266000,,,
78,0.088334,0.267000,,,
79,0.088210,0.268800,,,
80,0.088090,0.270200,,,
81,0.087975,0.272400,,,
82,0.087863,0.274200,,,
83,0.087754,0.274800,,,
84,0.087649,0.274600,,,
85,0.087547,0.275600,,,
86,0.087448,0.275600,,,
87,0.087351,0.276400,,,
88,0.087257,0.277000,,,
89,0.087166,0.277400,,,
90,0.087077,0.276200,,,
91,0.086990,0.277200,,,
92,0.086906,0.276800,,,
93,0.086823,0.276400,,,
94,0.086742,0.276000,,,
95,0.086663,0.274600,,,
96,0.086586,0.273800,,,
97,0.086511,0.273200,,,
98,0.086437,0.273200,,,
99,0.086364,0.272800,,,
100,0.086294,0.272200,,,
101,0.086224,0.271800,,,
102,0.086156,0.272200,,,
103,0.086089,0.272200,,,
104,0.086023,0.272200,,,
105,0.085959,0.272400,,,
106,0.085895,0.272200,,,
107,0.085833,0.272000,,,
108,0.085771,0.272800,,,
109,0.085711,0.272200,,,
110,0.085651,0.272800,,,
111,0.085592,0.272200,,,
112,0.085534,0.272400,,,
113,0.085477,0.274000,,,
114,0.085421,0.274600,,,
115,0.085365,0.274800,,,
116,0.085310,0.275600,,,
117,0.085256,0.275600,,,
